pop_size,max_iter,max_r,path_size,rep,fitness,path_length,collisions,iterations,runtime
10,200,30,2,1,1741.5953588318907,1741.5953588318907,0,200,0.604360818862915
10,200,30,2,2,1676.5310987405423,1676.5310987405423,0,200,0.5300090312957764
10,200,30,2,3,1955.4577405543216,1955.4577405543216,0,200,0.4794609546661377
10,200,30,2,4,3193.905160400745,3193.905160400745,0,200,0.5249335765838623
10,200,30,2,5,3499.134853440761,1499.1348534407612,1,200,0.5808651447296143
10,200,30,3,1,3963.011629668894,1963.0116296688939,1,200,0.6569130420684814
10,200,30,3,2,2951.8443071930533,2951.8443071930533,0,200,0.6441745758056641
10,200,30,3,3,1415.590963731703,1415.590963731703,0,200,0.6304488182067871
10,200,30,3,4,1902.2091378136774,1902.2091378136774,0,200,0.7442505359649658
10,200,30,3,5,1993.6017363684373,1993.6017363684373,0,200,0.6006078720092773
10,200,40,2,1,1542.0479352062205,1542.0479352062205,0,200,0.4690876007080078
10,200,40,2,2,1668.3895406362283,1668.3895406362283,0,200,0.5430958271026611
10,200,40,2,3,3870.8596134561753,1870.8596134561753,1,200,0.56801438331604
10,200,40,2,4,2138.458058224303,2138.458058224303,0,200,0.6072502136230469
10,200,40,2,5,1427.1277742789523,1427.1277742789523,0,200,0.4904332160949707
10,200,40,3,1,4042.0545939159947,2042.0545939159945,2,200,0.6348223686218262
10,200,40,3,2,1601.6984998842838,1601.6984998842838,0,200,0.6983332633972168
10,200,40,3,3,3980.5926482351388,1980.5926482351385,1,200,0.634556770324707
10,200,40,3,4,1795.4785263962399,1795.4785263962399,0,200,0.6372215747833252
10,200,40,3,5,1492.2024524999947,1492.2024524999947,0,200,0.6408820152282715
10,200,60,2,1,1427.3738690751757,1427.3738690751757,0,200,0.5910861492156982
10,200,60,2,2,5701.2152292642895,1701.215229264289,2,200,0.5800437927246094
10,200,60,2,3,1669.9694768743695,1669.9694768743695,0,200,0.4747745990753174
10,200,60,2,4,3922.5916272231407,1922.591627223141,1,200,0.468036413192749
10,200,60,2,5,1415.2736993868548,1415.2736993868548,0,200,0.5710327625274658
10,200,60,3,1,4502.250739023579,2502.2507390235787,2,200,0.7163562774658203
10,200,60,3,2,1634.9114022435847,1634.9114022435847,0,200,0.5842311382293701
10,200,60,3,3,1443.2534537206586,1443.2534537206586,0,200,0.949711799621582
10,200,60,3,4,3993.4685149290463,1993.4685149290465,1,200,1.0412395000457764
10,200,60,3,5,2365.726505456832,2365.726505456832,0,200,1.0039896965026855
10,500,30,2,1,1449.9508796952664,1449.9508796952664,0,500,1.4856538772583008
10,500,30,2,2,1719.1021499512062,1719.1021499512062,0,500,1.564378023147583
10,500,30,2,3,3426.151283326279,1426.151283326279,1,500,1.4872071743011475
10,500,30,2,4,1765.5711058288343,1765.5711058288343,0,500,1.7085673809051514
10,500,30,2,5,1795.2013185539531,1795.2013185539531,0,500,1.330242395401001
10,500,30,3,1,1470.4596378360711,1470.4596378360711,0,500,1.5832974910736084
10,500,30,3,2,1978.3238372352866,1978.3238372352866,0,500,1.7910971641540527
10,500,30,3,3,1519.2496824604725,1519.2496824604725,0,500,1.6028199195861816
10,500,30,3,4,2065.919446513286,2065.919446513286,0,500,1.7859680652618408
10,500,30,3,5,1878.1818569899428,1878.1818569899428,0,500,1.7655963897705078
10,500,40,2,1,1658.2648407004494,1658.2648407004494,0,500,1.289365291595459
10,500,40,2,2,1415.879835806837,1415.879835806837,0,500,1.226952075958252
10,500,40,2,3,1653.4537562166852,1653.4537562166852,0,500,1.420762062072754
